Submission No,Abstract Title,Primary Category Parent Category,Primary Category,Secondary Category Parent Category,Secondary Category,Speaker ID,First Name,Last Name,session
2277,An RCT of a Highly Challenging Balance Training and Its Effect on Brain and motor function in PD,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Learning and Memory,Neural Plasticity and Recovery of Function,5528,Franziska,Albrecht,Disorders of the Nervous System - Neurodegenerative/Late Life
1832,An unbiased high resolution and detail-preserving structural template of the older adult brain,Neuroinformatics and Data Sharing,Brain Atlases,Lifespan Development,Aging ,4147,ABDUR RAQUIB,RIDWAN,Neuroinformatics and Data Sharing
2628,Anomaly Detection in Large-scale Multimodal Neuroimaging Studies,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Neuroinformatics and Data Sharing,Informatics Other,2424,Zhiwei,Ma,Neuroinformatics and Data Sharing
2042,Assessing functional connectivity beyond Pearsonâ€™s correlation,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Modeling and Analysis Methods,Methods Development,4919,Hecheng,Jin,Modeling and Analysis - Connectivity
1429,Association of Latent Trauma with Distinctive Patterns of Cortical Thickness in Children,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Novel Imaging Acquisition Methods,Anatomical MRI ,2589,Hee Jung,Jeong,Disorders of the Nervous System - Psychiatric
1681,Asymmetric neural dynamics characterize loss and recovery of consciousness,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2127,Zirui,Huang,"Sleep, Consciousness, Pain"
2403,BATS: the BOston ASL Template and Simulator â€“ development and initial evaluation,Neuroinformatics and Data Sharing,Brain Atlases,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,6619,Manuel,Taso,Neuroinformatics and Data Sharing
1673,Brain Network Decomposition for Naturalistic Stimulus Paradigm,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Modeling and Analysis - Activation,3548,Yijun,Liu,Modeling and Analysis - Activation
1616,Brain Network Reconfiguration as Marker of General Intelligence?,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Higher Cognitive Functions,Higher Cognitive Functions Other,2791,Jonas,Thiele,Higher Cognitive Functions
2431,BrainStat: a Python/MATLAB toolbox for  statistical analyses and neuroscientific contextualization,Neuroinformatics and Data Sharing,Workflows,Modeling and Analysis Methods,Methods Development,2619,Reinder,Vos de Wael,Neuroinformatics and Data Sharing
1784,Characteristics of the Preterm Infant Connectome in the Early Postnatal Period,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4014,Graham,King,Disorders of the Nervous System - Neurodevelopmental/Early Life
1241,Characterizing reward system neural trajectories from adolescence to young adulthood,Modeling and Analysis Methods,Modeling and Analysis - Activation,Lifespan Development,"Early life, Adolescence, Aging",1907,ZHIPENG,CAO,Modeling and Analysis - Activation
2446,Characterizing the functional connectome heterogeneity in autism,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Classification and Predictive Modeling,6754,Iva,Ilioska,Disorders of the Nervous System - Neurodevelopmental/Early Life
2064,"Comparing acoustic, semantic and neural network models of natural sound representation","Perception, Attention and Motor Behavior",Perception: Auditory/ Vestibular ,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,5001,Bruno,Giordano,"Perception, Attention and Motor Behavior"
2305,"Comparing Predictions of LSTM, GPT-2 and BERT to fMRI Data Obtained During Story Listening",Language,Language Comprehension and Semantics,Modeling and Analysis Methods,Univariate Modeling,6092,Alexandre,Pasquiou,Language
2100,Comparison of BOLD and VASO in submillimeter high-resolution fMRI Based on BISEPI at 7T,Novel Imaging Acquisition Methods,Non-BOLD fMRI,Novel Imaging Acquisition Methods,Imaging Methods Other,5131,Guoxiang,Liu,Novel Imaging Acquisition Methods
2144,Complex regional pain syndrome: thalamic GMV atrophy and altered rsfMRI connectivity to the ACC,Learning and Memory,Neural Plasticity and Recovery of Function,"Social Neuroscience, Emotion and Motivation",Emotional Perception,5265,Martin,Lotze,Learning and Memory
1721,Conserved and divergent connectivity principles across the primate phylogenetic tree,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3742,Guilherme,Blazquez Freches,Neuroanatomy
2019,Construction of high resolution multimodal templates of the older adult brain,Neuroinformatics and Data Sharing,Brain Atlases,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,4152,Yingjuan,Wu,Neuroinformatics and Data Sharing
1971,Contributions of Prefrontal White Matter Integrity to Cognitive Performance in Healthy Aging,Lifespan Development,Aging ,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",4657,Wojciech,Pietrasik,Lifespan Development
1398,Cortical and subcortical micro-structure is associated with polygenic risk for schizophrenia,Genetics,Genetic Association Studies,Neuroanatomy,Cortical Anatomy and Brain Mapping,2435,Eva - Maria,Stauffer,Genetics
1688,Cortical functional connectomics describe genetic-evolutionary features of the human brain,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Genetics,Genetics Other,3165,Elisenda,Bueicheku,Genetics
2046,Cortical plasticity for auditory spatial processing in patients with unilateral hearing loss,"Perception, Attention and Motor Behavior",Perception: Auditory/ Vestibular ,Learning and Memory,Neural Plasticity and Recovery of Function,4899,Lee seul,Shim,"Perception, Attention and Motor Behavior"
2206,Cortical vulnerability to neuropathologies predicted by genetic similarity to subcortical modules,Genetics,Transcriptomics,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,1330,Ayan,Mandal,Genetics
1552,Corticospinal excitability and conductivity are related to the anatomy of the corticospinal tract,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",Neuroanatomy,Anatomy and Functional Systems,3034,Sonia,Betti,Neuroanatomy
1101,Decoding Movie Clip Identities from Brain Hemodynamics with High-Density Diffuse Optical Tomography,Novel Imaging Acquisition Methods,NIRS,Modeling and Analysis Methods,Classification and Predictive Modeling,1331,Zachary,Markow,Novel Imaging Acquisition Methods
1540,"Denoising physiological data collected during multi-band, multi-echo EPI sequences",Modeling and Analysis Methods,Methods Development,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",1137,Katherine,Bottenhorn,"Physiology, Metabolism and Neurotransmission"
1533,Design Issues and Solutions for Stopping Data from the Adolescent Brain Cognitive Development Study,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Lifespan Development,"Early life, Adolescence, Aging",2954,Patrick,Bissett,Higher Cognitive Functions
2210,Detecting imaging biomarkers for Alzheimerâ€™s disease via interpretable graph convolutional network,Modeling and Analysis Methods,Classification and Predictive Modeling,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,4702,Mansu,Kim,Disorders of the Nervous System - Neurodegenerative/Late Life
2255,Developmental Brain Connectivity in Chimpanzees using High-Resolution Diffusion MRI,Novel Imaging Acquisition Methods,Diffusion MRI ,Neuroanatomy,Normal Development,3260,Cornelius,Eichner,Novel Imaging Acquisition Methods
1872,Differential default-mode network effective connectivity in young-onset Alzheimer's disease variants,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4321,Seda,Sacu,Disorders of the Nervous System - Neurodegenerative/Late Life
1662,Differential Recruitment of Hippocampal Subfields as a Function of Delay Period Duration,Learning and Memory,Working Memory ,Neuroanatomy,Subcortical Structures,2966,Timothy,Ellmore,Learning and Memory
2596,Disordered network stability during associative learning in schizophrenia,Learning and Memory,Learning and Memory Other,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,7166,Emmanuel,Meram,Learning and Memory
1491,Distinct Intrinsic Functional Connectomes of Distractor Suppression in High- and Low-WMC Individuals,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Modeling and Analysis Methods,Classification and Predictive Modeling,2649,Ke,Xie,Higher Cognitive Functions
2090,DMN co-activation in young adults at genetic risk for Alzheimerâ€™s disease: an HCP replication study,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,BOLD fMRI ,5082,Lara,Mentink,Disorders of the Nervous System - Neurodegenerative/Late Life
1321,Do personality traits explain differences in resting state functional connectivity in older adults?,"Social Neuroscience, Emotion and Motivation",Self Processes,Lifespan Development,Aging ,2029,Lisa,Haddad,"Social Neuroscience, Emotion and Motivation"
1335,Dynamics of task-related electrophysiological networks: a benchmarking study,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2274,Judie,Tabbal,Modeling and Analysis - Connectivity
2054,Effect of Blockade of T-type Calcium Channels on Quasi-periodic Patterns (QPP) in the Brain,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,4860,Vahid,Khalilzad Sharghi,Novel Imaging Acquisition Methods
2485,Employing simultaneous (EEG-)PET-MRI to map arousal-induced hemodynamic and metabolic dynamics,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",3633,Jingyuan,Chen,Novel Imaging Acquisition Methods
1124,"Enlarged Perivascular Spaces: Automated Segmentation, Neuropathologic and Cognitive Correlates",Lifespan Development,Aging ,Modeling and Analysis Methods,Segmentation and Parcellation,1482,Carles,Javierre-Petit,Lifespan Development
1187,Exploring feature similarity gradients in the preterm neonatal cortex,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,1653,Paola,Galdi,Disorders of the Nervous System - Neurodevelopmental/Early Life
1503,Exploring large-scale cortical organization in chimpanzees: probing myeloarchitecture with qMRI,Neuroanatomy,Cortical Cyto- and Myeloarchitecture,Neuroanatomy,Cortical Anatomy and Brain Mapping,2833,Ilona,Lipp,Neuroanatomy
1783,Exploring the cortex microstructure in newborns: A clustering approach of diffusion MRI parameters,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Neuroanatomy,Cortical Cyto- and Myeloarchitecture,4017,Flore,Ginzburg,Lifespan Development
2325,Fast and accurate EPI spatial normalization using convolutional neural network,Modeling and Analysis Methods,Motion Correction and Preprocessing,Modeling and Analysis Methods,Other Methods,2953,Loic,Tetrel,Modeling and Analysis - Activation
2440,Federating the future of neuroimaging via secure and privacy-preserving analysis in COINSTAC,Neuroinformatics and Data Sharing,Databasing and Data Sharing,Neuroinformatics and Data Sharing,Informatics Other,6727,Kelly,Rootes-Murdy,Neuroinformatics and Data Sharing
1804,FMRI connectivity mapping in the awake mouse brain reveals a dynamic signature of consciousness,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",4087,Daniel,Gutierrez-Barragan,"Sleep, Consciousness, Pain"
1545,Foundations for affect-based mental health neuroimaging studies in the UK Biobank,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Modeling and Analysis Methods,Univariate Modeling,3004,Rosie,Dutt,Disorders of the Nervous System - Psychiatric
2298,Functional connectivity and social cognition: Multivariate links across the schizophrenia spectrum,"Social Neuroscience, Emotion and Motivation",Social Cognition,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2052,Lindsay,Oliver,Disorders of the Nervous System - Psychiatric
1264,Generalizing longitudinal age effects on brain structure: a two-study comparison approach,Lifespan Development,Aging ,Neuroanatomy,Cortical Anatomy and Brain Mapping,1841,Christiane,Jockwitz,Lifespan Development
1752,Genetic Differential and Co-expression Support the Functional Organization of the Human Cerebellum,Genetics,Transcriptomics,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,3851,Yaping,Wang,Genetics
2512,Getting the Nod: Characterizing pediatric head motion in movie- and resting-state fMRI.,Modeling and Analysis Methods,Motion Correction and Preprocessing,Lifespan Development,Normal Brain Development: Fetus to Adolescence,6594,Simon,Frew,Lifespan Development
2490,Graph Theory Analysis of Structural Connectivity Reveals Altered Network Topology in HIV Infection,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,6289,Alan,Finkelstein,Modeling and Analysis - Connectivity
1169,Greater impulsivity is associated with abnormality of executive control network in obese patients,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Modeling and Analysis Methods,Modeling and Analysis - Activation,1596,Wenchao,Zhang,Higher Cognitive Functions
1102,Grounding adaptive cognitive control in the functional brain organization: a resting state EEG study,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,1333,Gian Marco,Duma,Higher Cognitive Functions
1499,Hair Glucocorticoid Associations with Brain Structure in Major Depressive Disorder,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Novel Imaging Acquisition Methods,Diffusion MRI ,2808,Claire,Green,Disorders of the Nervous System - Psychiatric
2080,Harmonic Removal Regression (HarmoRemo): a novel method for removing harmonic components in M/EEG,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,5045,Mina,Jamshidi Idaji,Modeling and Analysis - Connectivity
1069,Heterogeneous age dependency in the human superior longitudinal fasciculus,Lifespan Development,Lifespan Development Other,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",1185,Kaoru,Amemiya,Lifespan Development
1454,High Associations Between Brain and Distractor Suppression Ability Across High-WMC Individuals,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Neuroanatomy,Anatomy and Functional Systems,2649,Ke,Xie,Higher Cognitive Functions
1882,High test-retest reliability of the human functional connectome over 1.5 years,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,2952,Maximilian,Lueckel,Modeling and Analysis - Connectivity
2200,High-resolution hippocampal subfield volumes in Multiple Sclerosis,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Neuroanatomy,Subcortical Structures,1665,Katherine,Koenig,Disorders of the Nervous System - Neurodegenerative/Late Life
1518,ICA fails in network reconstruction when sources are not independent: A methodological evaluation,Modeling and Analysis Methods,Segmentation and Parcellation,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,2897,Teague,Henry,Modeling and Analysis - Multivariate approaches
1729,Identifying Sources of Software-dependent Differences in Task fMRI Analyses,Neuroinformatics and Data Sharing,Workflows,Neuroinformatics and Data Sharing,Informatics Other,2944,Alexander,Bowring,Neuroinformatics and Data Sharing
1916,Impact of Polygenic Risk Score on Normative Models of Hippocampal Volumes,Genetics,Genetic Modeling and Analysis Methods,Lifespan Development,Aging ,4502,Mohammed,Janahi,Genetics
2133,Improving g-ratio mapping by a principled 3-point calibration,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Novel Imaging Acquisition Methods,Diffusion MRI ,3883,Mohammad,Ashtarayeh,Novel Imaging Acquisition Methods
1287,In vivo human MRI at 0.35 mm reveals up to 15 ms T2* changes within gray matter across depths at 7T,Novel Imaging Acquisition Methods,Anatomical MRI ,Modeling and Analysis Methods,Methods Development,2103,Omer Faruk,Gulban,Novel Imaging Acquisition Methods
1459,Individual differences in antisaccade cost are related to precentral gyrus,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Novel Imaging Acquisition Methods,BOLD fMRI ,2664,Donggang,Jin,Higher Cognitive Functions
1943,Individual variability of microstructural-functional coupling in the human cortex,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Neuroanatomy,Anatomy and Functional Systems,4578,Raihaan,Patel,Neuroanatomy
1636,InLang: unraveling the functional attributes of the language connectome,Language,Language Comprehension and Semantics,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,2771,Elise,ROGER,Language
2288,Interleaved acquisition of GABA and BOLD fluctuations in a clinical 3T MRI system: a phantom study,"Physiology, Metabolism and Neurotransmission",Cerebral Metabolism and Hemodynamics,Novel Imaging Acquisition Methods,MR Spectroscopy,5583,Laura,Beghini,"Physiology, Metabolism and Neurotransmission"
1854,Intra- and inter-session reproducibility of artificial scotoma pRF mapping at ultra-high fields,"Perception, Attention and Motor Behavior",Perception: Visual,Novel Imaging Acquisition Methods,BOLD fMRI ,1313,David,Linhardt,Modeling and Analysis - Activation
1104,Investigating Brain States within Eyes Open / Eyes Closed rs-fMRI with Hidden Markov Modelling,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Modeling and Analysis Methods,Methods Development,1339,Brandon,Ingram,Modeling and Analysis - Activation
1768,Investigating the inter-subject and spatial variability of physiological response functions in fMRI,Novel Imaging Acquisition Methods,BOLD fMRI ,Modeling and Analysis Methods,Exploratory Modeling and Artifact Removal,3954,Laura,Carlton,Modeling and Analysis - Activation
2135,Is it possible to modulate locus coeruleus activity via volitional control of pupil diameter?,Higher Cognitive Functions,Imagery  ,Modeling and Analysis Methods,Modeling and Analysis - Activation,2247,Sarah,Meissner,Higher Cognitive Functions
1690,Large Lesion Brain Alignment with AFNI,Modeling and Analysis Methods,Image Registration and Computational Anatomy,Neuroinformatics and Data Sharing,Workflows,1877,Daniel,Glen,Neuroinformatics and Data Sharing
1481,Learning to predict Cutting Angles from Histological Human Brain Sections,Modeling and Analysis Methods,Segmentation and Parcellation,Neuroanatomy,Cortical Anatomy and Brain Mapping,2719,Christian,Schiffer,Neuroanatomy
1285,Linking callosal structure to uni- and bilateral motor task performance in younger and older adults,Motor Behavior,Motor Behavior Other,Lifespan Development,Aging ,2100,Nora,Bittner,Neuroanatomy
1640,Linking Individual Differences in Personalized Functional Topography to Psychopathology in Youth,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Novel Imaging Acquisition Methods,BOLD fMRI ,3344,ZAIXU,Cui,Novel Imaging Acquisition Methods
1106,Localization of hypothalamic nuclei using resting-state functional connectivity in standard voxels,Modeling and Analysis Methods,Task-Independent and Resting-State Analysis,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,1341,Akitoshi,Ogawa,Modeling and Analysis - Connectivity
1727,Longitudinal and cross-sectional analyses of white matter changes in the healthy aging population,Lifespan Development,Aging ,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,3793,Maria Leonora Fatimah,Agan,Lifespan Development
1558,Longitudinal changes in structural connectivity in young people at high risk of bipolar disorder,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,1709,Alistair,Perry,Modeling and Analysis - Connectivity
2236,Longitudinal White Matter Development in Young Children with Prenatal Alcohol Exposure,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Novel Imaging Acquisition Methods,Diffusion MRI ,3571,Preeti,Kar,Disorders of the Nervous System - Neurodevelopmental/Early Life
1530,Looking Across Multimodal MRI QC Measures in NKI-Rockland Pediatric Longitudinal Sample,Neuroinformatics and Data Sharing,Databasing and Data Sharing,Modeling and Analysis Methods,Motion Correction and Preprocessing,2976,Ryan,Lim,Neuroinformatics and Data Sharing
2284,Magnetic Resonance-guided Focused Ultrasound (MRgFUS) Lesioning of the VIM: A Multimodal MRI Study,Brain Stimulation,Non-Invasive Stimulation Methods Other,Modeling and Analysis Methods,Modeling and Analysis - Activation,6005,Neeraj,Upadhyay,Brain Stimulation
1744,Mapping cerebral abnormalities using texture analysis in ALS with T2-FLAIR MRI: a multicenter study,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Novel Imaging Acquisition Methods,Anatomical MRI ,3832,Andrew,Wu,Disorders of the Nervous System - Neurodegenerative/Late Life
1206,Mapping neurotransmitter receptor distributions to the connectivity and dynamics of the human brain,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Neuroanatomy,Transmitter Receptors,1714,Justine,Hansen,"Physiology, Metabolism and Neurotransmission"
1614,Mapping primate brains across species via common sulci: A sulcal-based surface mapping approach,Neuroanatomy,Cortical Anatomy and Brain Mapping,Modeling and Analysis Methods,Image Registration and Computational Anatomy,3236,Kep Kee,Loh,Neuroanatomy
1695,Mapping subcortical functional connectome of the default mode network for targeted neuromodulation,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",3636,Jian,Li,"Sleep, Consciousness, Pain"
1318,MELD Project: Predictors of lesion location and postsurgical seizure freedom in FCD,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Classification and Predictive Modeling,2215,Konrad,Wagstyl,Disorders of the Nervous System - Neurodevelopmental/Early Life
1995,Microstructure Gradients Reflect Distributed and Integrative Functional Connectivity Patterns,Novel Imaging Acquisition Methods,Multi-Modal Imaging  ,Neuroanatomy,Cortical Anatomy and Brain Mapping,4698,Yezhou,Wang,Modeling and Analysis - Connectivity
1504,Mining brain-wide gene expression data to identify imaging genomic modules via biclustering,Genetics,Transcriptomics,Genetics,Genetic Modeling and Analysis Methods,2841,Jingxuan,Bao,Genetics
1956,Modelling signal propagation through the human connectome at high spatiotemporal resolution,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,Brain Stimulation,Direct Electrical/Optogenetic Stimulation,1008,Caio,Seguin,Brain Stimulation
1412,Motor sequence learning and prefrontal stimulation modulate hippocampo-frontal multivoxel patterns,Learning and Memory,Learning and Memory Other,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,2496,Mareike,Gann,Learning and Memory
2087,MTE-NODDI made practical with learning-based acquisition and parameter-estimation acceleration,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,Novel Imaging Acquisition Methods,Diffusion MRI ,5020,Ting,Gong,Novel Imaging Acquisition Methods
1805,Multi-class arterial segmentation of the Circle of Willis from MR angiography using deep learning,Modeling and Analysis Methods,Segmentation and Parcellation,Modeling and Analysis Methods,Classification and Predictive Modeling,1563,FÃ©lix,Dumais,Modeling and Analysis - Multivariate approaches
1928,Multimodal analysis of autism related inter-individual variation of gray and white matter morphology,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,4527,Ting,Mei,Disorders of the Nervous System - Neurodevelopmental/Early Life
2430,Multimodal evidence that pupillary responses are useful for examining aging in the locus coeruleus,Lifespan Development,Aging ,Modeling and Analysis Methods,Modeling and Analysis - Activation,6716,Elizabeth,Riley,Lifespan Development
2505,Multimodal neural correlates of childhood psychopathology,Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,4654,Valeria,Kebets,Disorders of the Nervous System - Neurodevelopmental/Early Life
2526,Multi-Site MRI Harmonization using Unified Generative Adversarial Networks,Modeling and Analysis Methods,Other Methods,Modeling and Analysis Methods,Motion Correction and Preprocessing,7120,Mengting,Liu,Modeling and Analysis - Activation
1110,Myelination Measurement in Early Brain Development with Quantitative MRI,Lifespan Development,Normal Brain Development: Fetus to Adolescence,Neuroanatomy,Microcircuitry and Modules,1076,Masaya,Misaki,Lifespan Development
2382,Network Modeling of Sex Differences in Brain Integrity and Metabolic Health,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",Lifespan Development,Aging ,6548,Janelle,Foret,"Physiology, Metabolism and Neurotransmission"
2106,Neural Variability of Crosstalk Effects in Dual-Tasking and Its Modulation by Age,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",Modeling and Analysis Methods,Modeling and Analysis - Activation,5153,Lya,Paas Oliveros,Higher Cognitive Functions
2151,Neuroimaging-based Prediction of Cognition and Behavior for Mental Disorders and Health,Modeling and Analysis Methods,Classification and Predictive Modeling,Higher Cognitive Functions,Higher Cognitive Functions Other,1952,Rongtao,Jiang,Higher Cognitive Functions
2550,Neuromod Movie10: Standardized processing of large-scale cardiorespiratory signals in MR environment,Neuroinformatics and Data Sharing,Workflows,Neuroinformatics and Data Sharing,Databasing and Data Sharing,5740,FranÃ§ois,Lespinasse,Neuroinformatics and Data Sharing
2452,NiBabies: A robust preprocessing workflow tailored for neonate and infant MRI,Neuroinformatics and Data Sharing,Workflows,Lifespan Development,"Early life, Adolescence, Aging",3455,Mathias,Goncalves,Neuroinformatics and Data Sharing
2145,Olfactory tract diffusion measures of early Parkinsonâ€™s disease patients using 7T MRI,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Diffusion MRI Modeling and Analysis,5344,Margot,Heijmans,Disorders of the Nervous System - Neurodegenerative/Late Life
1523,Organisational and neuromodulatory underpinnings of structure-function decoupling in Parkinsonâ€™s,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Modeling and Analysis Methods,Modeling and Analysis - Connectivity,2243,Angeliki,Zarkali,Disorders of the Nervous System - Neurodegenerative/Late Life
2228,Overnight dynamics of brain Glutamate and GABA levels in children with ADHD,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Disorders of the Nervous System,Disorders of the Nervous System - Neurodevelopmental/Early Life,3291,Carina,Volk,"Sleep, Consciousness, Pain"
1562,Perturbation of Functional Connectivity Allows Prediction of rTMS Therapeutic Effect in TRD,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Brain Stimulation,Non-invasive Magnetic/TMS,1536,Ruiyang,Ge,Disorders of the Nervous System - Psychiatric
2482,Physiopy/phys2bids v2.3.3: BIDS formatting of physiological recordings,Neuroinformatics and Data Sharing,Databasing and Data Sharing,"Physiology, Metabolism and Neurotransmission","Physiology, Metabolism and Neurotransmission Other",5740,FranÃ§ois,Lespinasse,Neuroinformatics and Data Sharing
1925,Pipeline for processing EEG data acquired during block- design simultaneous EEG-fMRI-ASL study,Modeling and Analysis Methods,EEG/MEG Modeling and Analysis,Modeling and Analysis Methods,Modeling and Analysis - Activation,4529,Balu,Krishnan,Modeling and Analysis - Activation
1705,Polyneuro Risk Scores of Executive Function Show Widely Distributed Effects Across the Whole Brain,Modeling and Analysis Methods,fMRI Connectivity and Network Modeling,Higher Cognitive Functions,"Executive Function, Cognitive Control and Decision Making",3671,Nora,Byington,Higher Cognitive Functions
2172,Posterior cortical cognitive deficits are associated with tract alterations in Parkinsonâ€™s disease,Disorders of the Nervous System,Disorders of the Nervous System - Neurodegenerative/Late Life,Neuroanatomy,"White Matter Anatomy, Fiber Pathways and Connectivity",5468,Quentin,DEVIGNES,Disorders of the Nervous System - Neurodegenerative/Late Life
1963,Precise cartography of individual brains with a common functional basis,Modeling and Analysis Methods,Modeling and Analysis - Multivariate approaches,Modeling and Analysis Methods,Modeling and Analysis - Activation,4647,Ma,Feilong,Modeling and Analysis - Multivariate approaches
2216,Predicting Gaze Position with Deep Learning of Electroencephalography Data,Novel Imaging Acquisition Methods,EEG ,Modeling and Analysis Methods,Classification and Predictive Modeling,5652,Martyna,Plomecka,Novel Imaging Acquisition Methods
2341,Preserved dynamic architecture contributes to the brainâ€™s ability to recover consciousness,"Perception, Attention and Motor Behavior","Sleep, Consciousness, Pain",Modeling and Analysis Methods,Modeling and Analysis - Connectivity,6290,Charlotte,Maschke,"Sleep, Consciousness, Pain"
1559,Probing the Hemispheric Asymmetry of Representations in Bilateral 'Inferior Temporal Numeral Areas',"Perception, Attention and Motor Behavior",Perception: Visual,Higher Cognitive Functions,"Space, Time and Number Coding ",3053,Darren,Yeo,"Perception, Attention and Motor Behavior"
2174,Psycho-socio-economic advantages protect depressed children from aberrant connectivity development,Disorders of the Nervous System,Disorders of the Nervous System - Psychiatric,Lifespan Development,"Early life, Adolescence, Aging",5397,Zhen,Yang,Disorders of the Nervous System - Psychiatric
